,Feature,Pearson,Chi-2,RFE,Logistics,Total
8,f8,True,True,True,True,4
71,f71,True,True,True,True,4
62,f62,True,True,True,True,4
57,f57,True,True,True,True,4
52,f52,True,True,True,True,4
45,f45,True,True,True,True,4
35,f35,True,True,True,True,4
34,f34,True,True,True,True,4
3,f3,True,True,True,True,4
21,f21,True,True,True,True,4
79,f79,True,False,True,True,3
48,f48,True,False,True,True,3
47,f47,True,False,True,True,3
36,f36,True,False,True,True,3
32,f32,True,False,True,True,3
31,f31,True,False,True,True,3
95,f95,True,True,False,False,2
73,f73,True,True,False,False,2
50,f50,True,True,False,False,2
46,f46,False,False,True,True,2
24,f24,False,False,True,True,2
2,f2,True,True,False,False,2
102,f102,False,False,True,True,2
1,f1,False,False,True,True,2
81,f81,False,True,False,False,1
77,f77,False,True,False,False,1
7,f7,False,True,False,False,1
65,f65,False,True,False,False,1
30,f30,False,True,False,False,1
108,f108,False,True,False,False,1
0,id,False,False,False,False,0
99,f99,False,False,False,False,0
98,f98,False,False,False,False,0
97,f97,False,False,False,False,0
96,f96,False,False,False,False,0
94,f94,False,False,False,False,0
93,f93,False,False,False,False,0
92,f92,False,False,False,False,0
91,f91,False,False,False,False,0
90,f90,False,False,False,False,0
9,f9,False,False,False,False,0
89,f89,False,False,False,False,0
88,f88,False,False,False,False,0
87,f87,False,False,False,False,0
86,f86,False,False,False,False,0
85,f85,False,False,False,False,0
84,f84,False,False,False,False,0
83,f83,False,False,False,False,0
82,f82,False,False,False,False,0
80,f80,False,False,False,False,0
78,f78,False,False,False,False,0
76,f76,False,False,False,False,0
75,f75,False,False,False,False,0
74,f74,False,False,False,False,0
72,f72,False,False,False,False,0
70,f70,False,False,False,False,0
69,f69,False,False,False,False,0
68,f68,False,False,False,False,0
67,f67,False,False,False,False,0
66,f66,False,False,False,False,0
64,f64,False,False,False,False,0
63,f63,False,False,False,False,0
61,f61,False,False,False,False,0
60,f60,False,False,False,False,0
6,f6,False,False,False,False,0
59,f59,False,False,False,False,0
58,f58,False,False,False,False,0
56,f56,False,False,False,False,0
55,f55,False,False,False,False,0
54,f54,False,False,False,False,0
53,f53,False,False,False,False,0
51,f51,False,False,False,False,0
5,f5,False,False,False,False,0
49,f49,False,False,False,False,0
44,f44,False,False,False,False,0
43,f43,False,False,False,False,0
42,f42,False,False,False,False,0
41,f41,False,False,False,False,0
40,f40,False,False,False,False,0
4,f4,False,False,False,False,0
39,f39,False,False,False,False,0
38,f38,False,False,False,False,0
37,f37,False,False,False,False,0
33,f33,False,False,False,False,0
29,f29,False,False,False,False,0
28,f28,False,False,False,False,0
27,f27,False,False,False,False,0
26,f26,False,False,False,False,0
25,f25,False,False,False,False,0
23,f23,False,False,False,False,0
22,f22,False,False,False,False,0
20,f20,False,False,False,False,0
19,f19,False,False,False,False,0
18,f18,False,False,False,False,0
17,f17,False,False,False,False,0
16,f16,False,False,False,False,0
15,f15,False,False,False,False,0
14,f14,False,False,False,False,0
13,f13,False,False,False,False,0
12,f12,False,False,False,False,0
118,f118,False,False,False,False,0
117,f117,False,False,False,False,0
116,f116,False,False,False,False,0
115,f115,False,False,False,False,0
114,f114,False,False,False,False,0
113,f113,False,False,False,False,0
112,f112,False,False,False,False,0
111,f111,False,False,False,False,0
110,f110,False,False,False,False,0
11,f11,False,False,False,False,0
109,f109,False,False,False,False,0
107,f107,False,False,False,False,0
106,f106,False,False,False,False,0
105,f105,False,False,False,False,0
104,f104,False,False,False,False,0
103,f103,False,False,False,False,0
101,f101,False,False,False,False,0
100,f100,False,False,False,False,0
10,f10,False,False,False,False,0
